"Rows from: systek_raw_rows","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"sykehuset-innlandet.no","Sykehuset Innlandet HF","sykehuset-innlandet.no","sykehuset-innlandet.no","983 971 709","https://www.proff.no/selskap/sykehuset-innlandet-hf/brumunddal/sykehus/IG9TXFH10KZ-7","128,277,000 NOK (2024)","10,898,451,000 NOK (2024)","Hospital / Healthcare services","10132","Furnesvegen 26, 2382 Brumunddal","2025-11-27 09:39:58.028+00",
,,"helse-vest-ikt.no","Helse Vest IKT","helse-vest-ikt.no","helse-vest-ikt.no","987 601 787","https://www.proff.no/selskap/helse-vest-ikt-as-avd-bergen/bergen/sykehus/IGC044Q10KZ","NOK 399 (in thousands, latest available year)","NOK 2 038 699 (in thousands, latest available year)","Somatiske sykehustjenester","610","Bjørnsons gate 29, 5052 Bergen","2025-11-28 09:39:58.16+00",
,,"watchbird.no","Watchbird","https://www.watchbird.no/","watchbird.no","829 612 712","https://www.proff.no/selskap/watchbird-as/oslo/bedriftsr%C3%A5dgivning/IDPXH9K043Z","-1 390 (Beløp i 1000) (2024)","0 (Beløp i 1000) (2024)","Bedriftsrådgivning","6","Karenslyst Allé 11, 0278 Oslo","2025-11-27 09:39:58.028+00",
,,"entur.no","Entur","https://entur.no/","entur.no","","","","","","0","Rådhusgata 5, Oslo, Norge, 0151 Oslo","2025-11-26 09:39:57.78+00",
,,"kulturit.org","KulturIT AS","https://kulturit.org","kulturit.org","915 168 175","https://www.proff.no/selskap/kulturit-as/lillehammer/it-konsulenter-og-r%C3%A5dgivning/IF4V8A703DC","Resultat før skatt 2024 653 (Beløp i 1000)","Sum driftsinntekter 2024 84 365 (Beløp i 1000)","IT-konsulenter og rådgivning","61","Fredvang Allé 10, 2321 Hamar","2025-11-26 09:39:57.78+00",
,,"m3n.no","Norsk Virkesmåling","https://www.m3n.no/","m3n.no","953 007 940","https://www.proff.no/selskap/norsk-virkesm%C3%A5ling/oslo/skogbruk/IFRE9MS01I9","NOK 1 703 thousand (2024)","NOK 143 327 thousand (2024)","Skogbruk","136","Innspurten 15, 0663 Oslo, 1351 Rud","2025-11-27 09:39:58.028+00",
,,"xledger.com","Xledger Labs AS","https://xledger.com/no/","xledger.com","981 641 205","https://www.proff.no/selskap/xledger-labs-as/oslo/dataprogramvare-og-utvikling/IG8FZ79009O","5 391 (in 1000 NOK) for 2024","74 084 (in 1000 NOK) for 2024","Dataprogramvare og utvikling","53","Østensjøveien 32, 0667 Oslo","2025-11-27 09:39:58.028+00",
,,"cepheo.no","Cepheo","cepheo.no","cepheo.no","930 970 719","https://www.proff.no/selskap/cepheo-norge-as/oslo/it-konsulenter-og-r%C3%A5dgivning/IFE9XLR03DC","NOK -26.751M (2024)","NOK 277.934M (2024)","it-konsulenter og rådgivning","99","Oslo","2025-11-28 09:39:58.16+00",
,,"normacyber.no","Nordic Maritime Cyber Resilience Centre","https://normacyber.no","normacyber.no","925 216 739","https://www.proff.no/selskap/nordic-maritime-cyber-resilience-centre-as/-/-/925216739","NOK -1.3M (2024)","NOK 30.7M (2024)","IT-konsulenter og rådgivning","13","Rådhusgata 25, 0158 Oslo","2025-12-20 09:39:59.4+00",
,,"stormgeo.com","StormGeo","https://www.stormgeo.com/","stormgeo.com","978 661 017","https://www.proff.no/selskap/stormgeo-as/bergen/forskning-og-utvikling/IG6O3O900FV","NOK 109 487 000 (2024)","NOK 221 145 000 (2024)","Forskning og utvikling","107","Nordre Nøstekaien 1 5011 Bergen Norway, 5011 Bergen","2025-11-26 09:39:57.78+00",
,,"usbl.no","Boligbyggelaget Usbl","https://usbl.no","usbl.no","950 285 680","https://www.proff.no/selskap/boligbyggelaget-usbl/-/-/950285680","54 863 (Beløp i 1000)","605 833 (Beløp i 1000)","Boligbyggelag","367","Arbeidersamfunnets plass 1, 0181 Oslo","2025-11-26 09:39:57.78+00",
,,"tietoevry.com","Tietoevry Create","https://www.tietoevry.com/en/create/","tietoevry.com","931 190 636","https://www.proff.no/selskap/tietoevry-fintech-norway-as/fornebu/it-konsulenter-og-r%C3%A5dgivning/IFEENAK03DC","NOK 138 436 (2024) — amounts shown in 1000 NOK on Proff","NOK 4 429 437 (2024) — amounts shown in 1000 NOK on Proff","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer","970","Snarøyveien 20, 1360 Fornebu","2025-11-27 09:39:58.028+00",
,,"arkivverket.no","Arkivverket","http://arkivverket.no/","arkivverket.no","961 181 399","https://www.proff.no/selskap/arkivverket/-/-/961181399","","No data","Drift av arkiver","334","Sjukehusveien 17, 2500 Tynset","2025-11-26 09:39:57.78+00",
