"Rows from: Konfitech Targets - Nikolai - 2nd and 3rd connections Norway relevant","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"brimfarm.com","Brim Farm As","www.brimfarm.com","brimfarm.com",,,,,"Seafood Product Manufacturing","3","Norway",,
,,"BRAINWORKER AS","BRAINWORKER AS","","",,,,,"","0","",,
,,"loopyty.com","Loopyty","loopyty.com","loopyty.com",,,,,"Software Development","1","",,
,,"conscia.com","Conscia Norge As","conscia.com","conscia.com",,,,,"IT Services and IT Consulting","127","Oslo, Oslo, Norway",,
,,"hubs.ly","Cognite","hubs.ly","hubs.ly",,,,,"Software Development","774","Tempe, Arizona, United States",,
,,"davidhorn.com","Davidhorn","www.davidhorn.com","davidhorn.com",,,,,"Software Development","45","Grimstad, Agder, Norway",,
,,"quickgo.pro","Quickgo","quickgo.pro","quickgo.pro",,,,,"IT Services and IT Consulting","10","Mohpa, Maharashtra, India",,
,,"Pitch40","Pitch40","","",,,,,"Financial Services","6","Oslo, Oslo, Norway",,
,,"infinigrid.ai","Infinigrid As","infinigrid.ai","infinigrid.ai",,,,,"Technology, Information and Internet","11","Oslo, Oslo, Norway",,
,,"cobuilder.com","Cobuilder","www.cobuilder.com","cobuilder.com",,,,,"IT Services and IT Consulting","126","Norway",,
,,"toptal.com","Toptal","www.toptal.com","toptal.com",,,,,"Software Development","5908","",,
,,"Own Company","Own Company","","",,,,,"","0","",,
,,"stahl-tranberg.com","R. Stahl Tranberg As","stahl-tranberg.com","stahl-tranberg.com",,,,,"Appliances, Electrical, and Electronics Manufacturing","59","Greater Stavanger Region",,
,,"fireclover.cloud","Fireclover","fireclover.cloud","fireclover.cloud",,,,,"Data Security Software Products","2","Oslo, Oslo, Norway",,
,,"soolv.com","Soolv","soolv.com","soolv.com",,,,,"Software Development","6","Oslo, Oslo, Norway",,
,,"Farma Norge","Farma Norge","","",,,,,"","0","",,
,,"markantenergy.no","Markant Energy Norge As","www.markantenergy.no","markantenergy.no",,,,,"Wholesale","3","Oslo, Oslo, Norway",,
,,"franzefoss.no","Franzefoss As","www.franzefoss.no","franzefoss.no",,,,,"Renewables & Environment","292","Jevnaker, Viken, Norway",,
,,"shipshave.no","Shipshave As","www.shipshave.no","shipshave.no",,,,,"Maritime Transportation","18","Norway",,
,,"paloaltonetworks.com","Palo Alto Networks","www.paloaltonetworks.com","paloaltonetworks.com",,,,,"Computer and Network Security","17864","Santa Clara, California, United States",,
,,"384k.ventures","384K Ventures","www.384k.ventures","384k.ventures",,,,,"International Trade and Development","1","",,
,,"hjem.no","Hjem.No","www.hjem.no","hjem.no",,,,,"Real Estate","10","",,
,,"SG Partner AS","SG Partner AS","","",,,,,"","0","",,
,,"excitus.no","Excitus As","www.excitus.no","excitus.no",,,,,"Medical Equipment Manufacturing","7","Rogaland, Norway",,
,,"spectrumblue.eu","Spectrum Blue","www.spectrumblue.eu","spectrumblue.eu",,,,,"Health and Human Services","7","Stavanger/Sandnes, Rogaland, Norway",,
,,"Apini As","Apini As","","",,,,,"Retail Health and Personal Care Products","10","Oslo, Oslo, Norway",,
,,"captureenergy.eu","Capture Energy","www.captureenergy.eu","captureenergy.eu",,,,,"Services for Renewable Energy","35","Gothenburg, Västra Götaland County, Sweden",,
,,"attensi.com","Attensi","www.attensi.com","attensi.com",,,,,"Software Development","241","Oslo, Oslo, Norway",,
,,"ksdif.no","Ks Digitale Fellestjenester As","ksdif.no","ksdif.no",,,,,"IT Services and IT Consulting","63","Oslo, Oslo, Norway",,
,,"ramirent.no","Ramirent Norge","www.ramirent.no","ramirent.no",,,,,"Equipment Rental Services","212","Oslo, Oslo, Norway",,
,,"polynate.no","Polynate As","www.polynate.no","polynate.no",,,,,"Waste Treatment and Disposal","4","Oslo, Oslo, Norway",,
,,"lefdalmine.com","Lefdal Mine Datacenter As","www.lefdalmine.com","lefdalmine.com",,,,,"IT Services and IT Consulting","37","Selje, Vestland, Norway",,
,,"novacare.no","Novacare As","www.novacare.no","novacare.no",,,,,"IT Services and IT Consulting","35","Oslo, Oslo, Norway",,
,,"appsco.com","Appsco","www.appsco.com","appsco.com",,,,,"IT Services and IT Consulting","30","Oslo, Oslo, Norway",,
,,"getcloudcast.com","Cloudcast","www.getcloudcast.com","getcloudcast.com",,,,,"IT Services and IT Consulting","5","Oslo, Oslo, Norway",,
,,"cooperante.no","Cooperante As","www.cooperante.no","cooperante.no",,,,,"Staffing and Recruiting","4","Norway",,
,,"skytechcontrol.io","Skytech Control As","skytechcontrol.io","skytechcontrol.io",,,,,"IT System Custom Software Development","36","Oslo, Oslo, Norway",,
,,"VetLabs AS, Norway","VetLabs AS, Norway","","",,,,,"","0","",,
,,"uptime.no","Uptime International As","uptime.no","uptime.no",,,,,"Services for Renewable Energy","79","Kopervik, Rogaland, Norway",,
,,"affexco.com","Affexco Global - Coaches & Consultants- Powerhouse Of Global Professionals","affexco.com","affexco.com",,,,,"Business Consulting and Services","9","Levanger, Trøndelag, Norway",,
,,"utel.tech","Utel","utel.tech","utel.tech",,,,,"Telecommunications","32","Grimstad, Agder, Norway",,
,,"ibflegal.com","Ibf Legal","ibflegal.com","ibflegal.com",,,,,"Legal Services","4","Oslo, Oslo, Norway",,
,,"ticketco.io","Ticketco","ticketco.io","ticketco.io",,,,,"Events Services","29","Bergen, Vestland, Norway",,
,,"kokkeogserveringstjenester.no","Kokke & Serveringstjenester As","www.kokkeogserveringstjenester.no","kokkeogserveringstjenester.no",,,,,"Staffing and Recruiting","13","Bergen, Vestland, Norway",,
,,"keystonesports.com","Keystone Sports","www.keystonesports.com","keystonesports.com",,,,,"Education","130","Norway",,
,,"Finansit as","Finansit as","","",,,,,"","0","",,
,,"ghi5.no","Grunderhuset Hi5","www.ghi5.no","ghi5.no",,,,,"Professional Training and Coaching","5","Tønsberg, Vestfold og Telemark, Norway",,
,,"vargronn.com","Vårgrønn","www.vargronn.com","vargronn.com",,,,,"Renewable Energy Power Generation","68","Stavanger, Rogaland, Norway",,
,,"Palliance AB","Palliance AB","","",,,,,"","0","",,
,,"aevy.io","Aevy","aevy.io","aevy.io",,,,,"Services for Renewable Energy","4","Oslo, Oslo, Norway",,
,,"thommessen.no","Thommessen","www.thommessen.no","thommessen.no",,,,,"Law Practice","479","Oslo, Oslo, Norway",,
,,"livv.health","Livv Health","livv.health","livv.health",,,,,"Health and Human Services","9","Oslo, Oslo, Norway",,
,,"visoid.com","Visoid","visoid.com","visoid.com",,,,,"Architecture and Planning","5","Oslo, Oslo, Norway",,
,,"wakandi.com","Wakandi","www.wakandi.com","wakandi.com",,,,,"Financial Services","81","Norway",,
,,"capassa.com","Capassa","www.capassa.com","capassa.com",,,,,"IT Services and IT Consulting","7","Oslo, Oslo, Norway",,
,,"virtualhouse.no","Virtualhouse","www.virtualhouse.no","virtualhouse.no",,,,,"Civil Engineering","4","Nordfjordeid, Vestland, Norway",,
,,"myreze.com","Myreze","www.myreze.com","myreze.com",,,,,"Media Production","26","Bergen, Vestland, Norway",,
,,"overeasy.no","Over Easy Solar","www.overeasy.no","overeasy.no",,,,,"Renewable Energy Semiconductor Manufacturing","16","Oslo, Oslo, Norway",,
,,"Opensky Consulting AS","Opensky Consulting AS","","",,,,,"","0","",,
,,"cfarer.world","Cfarer - A Dnv Company","www.cfarer.world","cfarer.world",,,,,"Maritime Transportation","33","Oslo, Oslo, Norway",,
,,"cover.vision","Cover.Vision","cover.vision","cover.vision",,,,,"Information Services","2","Bergen, Vestland, Norway",,
,,"thefactory.no","Thefactory - Accelerator & Vc","www.thefactory.no","thefactory.no",,,,,"Business Consulting and Services","35","Oslo, Oslo, Norway",,
,,"apomed.no","Apomed As","www.apomed.no","apomed.no",,,,,"Retail Pharmacies","6","",,
,,"caox.global","Caox As","caox.global","caox.global",,,,,"Industrial Machinery Manufacturing","6","Stavanger, Rogaland, Norway",,
,,"tcmda.com","Technology Centre Mongstad","www.tcmda.com","tcmda.com",,,,,"Research Services","24","Mongstad Base, Vestland, Norway",,
,,"antecbiogas.com","Antec","www.antecbiogas.com","antecbiogas.com",,,,,"Renewable Energy Equipment Manufacturing","28","Oslo, Oslo, Norway",,
,,"swairi.no","Swairi","www.swairi.no","swairi.no",,,,,"Human Resources Services","2","Oslo, Oslo, Norway",,
,,"sevenseasgroup.com","Seven Seas Group - Maritime Services","www.sevenseasgroup.com","sevenseasgroup.com",,,,,"Maritime Transportation","380","Dubai, Dubai, United Arab Emirates",,
,,"weidhertz.com","Weidhertz As","www.weidhertz.com","weidhertz.com",,,,,"Business Consulting and Services","1","Norway",,
,,"zobrius.com","Zobrius Pharma As","www.zobrius.com","zobrius.com",,,,,"Wellness and Fitness Services","6","Drammen, Viken, Norway",,
,,"skypass.no","Skypass","www.skypass.no","skypass.no",,,,,"Software Development","5","Oslo, Oslo, Norway",,
,,"Personalsykler Norge AS","Personalsykler Norge AS","","",,,,,"","0","",,
,,"rentelligent.com","Rentelligent","www.rentelligent.com","rentelligent.com",,,,,"Internet Publishing","30","Oslo, Oslo, Norway",,
,,"norskanalyse.com","Norsk Analyse","www.norskanalyse.com","norskanalyse.com",,,,,"Engineering Services","119","Shah Alam, Selangor, Malaysia",,
,,"advania.no","Advania Norge","www.advania.no","advania.no",,,,,"IT Services and IT Consulting","677","Oslo, Oslo, Norway",,
,,"aziwell.com","Aziwell As","aziwell.com","aziwell.com",,,,,"Mining","63","Trondheim, Trøndelag, Norway",,
,,"positival.no","Positival","www.positival.no","positival.no",,,,,"Vocational Rehabilitation Services","2","Norway",,
,,"Bw Velora","Bw Velora","","",,,,,"Technology, Information and Internet","10","Oslo, Oslo, Norway",,
,,"nodeit.no","Nodeit","www.nodeit.no","nodeit.no",,,,,"IT Services and IT Consulting","5","Bergen, Vestland, Norway",,
,,"sveprofilgaver.no","Sve Profilgaver As","www.sveprofilgaver.no","sveprofilgaver.no",,,,,"Public Relations and Communications Services","14","Norway",,
,,"neosystems.ai","Neo","neosystems.ai","neosystems.ai",,,,,"Software Development","1","",,
,,"Handshake","Handshake","","",,,,,"Software Development","1","",,
,,"telenorcyberdefence.no","Telenor Cyberdefence","www.telenorcyberdefence.no","telenorcyberdefence.no",,,,,"Security and Investigations","69","Norway",,
,,"Rockslice","Rockslice","","",,,,,"Industrial Machinery Manufacturing","5","",,
,,"nti-group.com","Nti As","www.nti-group.com","nti-group.com",,,,,"IT Services and IT Consulting","81","Norway",,
,,"scgroup.no","Strategic Consulting Group As","www.scgroup.no","scgroup.no",,,,,"Business Consulting and Services","5","Drammen, Viken, Norway",,
,,"jnbp.com","Jera Nex Bp","www.jnbp.com","jnbp.com",,,,,"Renewable Energy Power Generation","336","London, England, United Kingdom",,
,,"Telenor Pakistan","Telenor Pakistan","","",,,,,"","0","",,
